data,hora,rodada,time_casa,time_visitante,status,gols_casa,gols_visitante
29/03/2025,21:30,1,São Paulo,Recife,FINISHED,0.0,0.0
29/03/2025,21:30,1,Cruzeiro,Mirassol,FINISHED,2.0,1.0
29/03/2025,21:30,1,Grêmio,Mineiro,FINISHED,2.0,1.0
29/03/2025,21:30,1,Fortaleza,Fluminense,FINISHED,2.0,0.0
29/03/2025,21:30,1,Juventude,Vitória,FINISHED,2.0,0.0
30/03/2025,00:00,1,Flamengo,Internacional,FINISHED,1.0,1.0
30/03/2025,19:00,1,Palmeiras,Botafogo,FINISHED,0.0,0.0
30/03/2025,21:30,1,Vasco da Gama,Santos,FINISHED,2.0,1.0
30/03/2025,23:00,1,Bahia,Corinthians,FINISHED,1.0,1.0
31/03/2025,23:00,1,Bragantino,Ceará,FINISHED,2.0,2.0
05/04/2025,21:30,2,Corinthians,Vasco da Gama,FINISHED,3.0,0.0
05/04/2025,21:30,2,Ceará,Grêmio,FINISHED,2.0,0.0
06/04/2025,00:00,2,Botafogo,Juventude,FINISHED,2.0,0.0
06/04/2025,19:00,2,Fluminense,Bragantino,FINISHED,2.0,1.0
06/04/2025,19:00,2,Mineiro,São Paulo,FINISHED,0.0,0.0
06/04/2025,21:30,2,Mirassol,Fortaleza,FINISHED,1.0,1.0
06/04/2025,21:30,2,Internacional,Cruzeiro,FINISHED,3.0,0.0
06/04/2025,21:30,2,Vitória,Flamengo,FINISHED,1.0,2.0
06/04/2025,21:30,2,Recife,Palmeiras,FINISHED,1.0,2.0
06/04/2025,23:30,2,Santos,Bahia,FINISHED,2.0,2.0
12/04/2025,19:00,3,Bragantino,Botafogo,FINISHED,1.0,0.0
12/04/2025,19:00,3,Juventude,Ceará,FINISHED,2.0,1.0
12/04/2025,21:30,3,Palmeiras,Corinthians,FINISHED,2.0,0.0
13/04/2025,00:00,3,Vasco da Gama,Recife,FINISHED,3.0,1.0
13/04/2025,19:00,3,Bahia,Mirassol,FINISHED,1.0,1.0
13/04/2025,20:30,3,São Paulo,Cruzeiro,FINISHED,1.0,1.0
13/04/2025,20:30,3,Grêmio,Flamengo,FINISHED,0.0,2.0
13/04/2025,22:30,3,Fluminense,Santos,FINISHED,1.0,0.0
13/04/2025,23:00,3,Fortaleza,Internacional,FINISHED,0.0,0.0
13/04/2025,23:30,3,Mineiro,Vitória,FINISHED,2.0,2.0
16/04/2025,00:30,4,Ceará,Vasco da Gama,FINISHED,2.0,1.0
16/04/2025,21:30,4,Botafogo,São Paulo,FINISHED,2.0,2.0
16/04/2025,22:00,4,Mirassol,Grêmio,FINISHED,4.0,1.0
16/04/2025,22:00,4,Recife,Bragantino,FINISHED,0.0,1.0
16/04/2025,22:30,4,Corinthians,Fluminense,FINISHED,0.0,2.0
16/04/2025,22:30,4,Internacional,Palmeiras,FINISHED,0.0,1.0
17/04/2025,00:30,4,Flamengo,Juventude,FINISHED,6.0,0.0
17/04/2025,00:30,4,Santos,Mineiro,FINISHED,2.0,0.0
17/04/2025,00:30,4,Vitória,Fortaleza,FINISHED,2.0,1.0
18/04/2025,00:30,4,Cruzeiro,Bahia,FINISHED,3.0,0.0
19/04/2025,19:00,5,Corinthians,Recife,FINISHED,2.0,1.0
19/04/2025,21:30,5,Vasco da Gama,Flamengo,FINISHED,0.0,0.0
20/04/2025,00:00,5,Grêmio,Internacional,FINISHED,1.0,1.0
20/04/2025,14:00,5,Juventude,Mirassol,FINISHED,2.0,2.0
20/04/2025,19:00,5,São Paulo,Santos,FINISHED,2.0,1.0
20/04/2025,19:00,5,Mineiro,Botafogo,FINISHED,1.0,0.0
20/04/2025,21:30,5,Fluminense,Vitória,FINISHED,1.0,1.0
20/04/2025,21:30,5,Fortaleza,Palmeiras,FINISHED,1.0,2.0
20/04/2025,23:30,5,Bragantino,Cruzeiro,FINISHED,1.0,0.0
21/04/2025,23:00,5,Bahia,Ceará,FINISHED,1.0,0.0
26/04/2025,19:00,6,Internacional,Juventude,FINISHED,3.0,1.0
26/04/2025,21:30,6,Mirassol,Mineiro,FINISHED,2.0,2.0
26/04/2025,21:30,6,Ceará,São Paulo,FINISHED,1.0,1.0
26/04/2025,23:00,6,Recife,Fortaleza,FINISHED,0.0,0.0
27/04/2025,00:00,6,Botafogo,Fluminense,FINISHED,2.0,0.0
27/04/2025,19:00,6,Flamengo,Corinthians,FINISHED,4.0,0.0
27/04/2025,21:30,6,Palmeiras,Bahia,FINISHED,0.0,1.0
27/04/2025,21:30,6,Cruzeiro,Vasco da Gama,FINISHED,1.0,0.0
27/04/2025,21:30,6,Vitória,Grêmio,FINISHED,1.0,1.0
27/04/2025,23:30,6,Santos,Bragantino,FINISHED,1.0,2.0
03/05/2025,00:30,7,São Paulo,Fortaleza,FINISHED,0.0,0.0
03/05/2025,21:30,7,Fluminense,Recife,FINISHED,2.0,1.0
03/05/2025,21:30,7,Corinthians,Internacional,FINISHED,4.0,2.0
03/05/2025,21:30,7,Ceará,Vitória,FINISHED,1.0,0.0
04/05/2025,00:00,7,Bahia,Botafogo,FINISHED,1.0,0.0
04/05/2025,19:00,7,Vasco da Gama,Palmeiras,FINISHED,0.0,1.0
04/05/2025,19:00,7,Grêmio,Santos,FINISHED,1.0,0.0
04/05/2025,21:30,7,Cruzeiro,Flamengo,FINISHED,2.0,1.0
05/05/2025,22:00,7,Bragantino,Mirassol,FINISHED,1.0,0.0
05/05/2025,23:00,7,Juventude,Mineiro,FINISHED,0.0,1.0
10/05/2025,19:00,8,Fortaleza,Juventude,FINISHED,5.0,0.0
10/05/2025,21:30,8,Mirassol,Corinthians,FINISHED,2.0,1.0
10/05/2025,21:30,8,Grêmio,Bragantino,FINISHED,1.0,1.0
10/05/2025,21:30,8,Vitória,Vasco da Gama,FINISHED,2.0,1.0
11/05/2025,00:00,8,Flamengo,Bahia,FINISHED,1.0,0.0
11/05/2025,19:00,8,Recife,Cruzeiro,FINISHED,0.0,4.0
11/05/2025,20:30,8,Palmeiras,São Paulo,FINISHED,1.0,0.0
11/05/2025,20:30,8,Mineiro,Fluminense,FINISHED,3.0,2.0
11/05/2025,23:00,8,Botafogo,Internacional,FINISHED,4.0,0.0
12/05/2025,23:00,8,Santos,Ceará,FINISHED,0.0,0.0
17/05/2025,19:00,9,Ceará,Recife,FINISHED,2.0,0.0
17/05/2025,21:30,9,Vasco da Gama,Fortaleza,FINISHED,3.0,0.0
18/05/2025,00:00,9,São Paulo,Grêmio,FINISHED,2.0,1.0
18/05/2025,19:00,9,Corinthians,Santos,FINISHED,1.0,0.0
18/05/2025,19:00,9,Bahia,Vitória,FINISHED,2.0,1.0
18/05/2025,19:00,9,Juventude,Fluminense,FINISHED,1.0,1.0
18/05/2025,21:30,9,Flamengo,Botafogo,FINISHED,0.0,0.0
