data,hora,rodada,time_casa,time_visitante,status,gols_casa,gols_visitante
29/03/2025,21:30,1,São Paulo,Sport,FINISHED,0.0,0.0
29/03/2025,21:30,1,Cruzeiro,Mirassol,FINISHED,2.0,1.0
29/03/2025,21:30,1,Grêmio,Atlético-MG,FINISHED,2.0,1.0
29/03/2025,21:30,1,Fortaleza,Fluminense,FINISHED,2.0,0.0
29/03/2025,21:30,1,Juventude,Vitória,FINISHED,2.0,0.0
30/03/2025,00:00,1,Flamengo,Internacional,FINISHED,1.0,1.0
30/03/2025,19:00,1,Palmeiras,Botafogo,FINISHED,0.0,0.0
30/03/2025,21:30,1,Vasco,Santos,FINISHED,2.0,1.0
30/03/2025,23:00,1,Bahia,Corinthians,FINISHED,1.0,1.0
31/03/2025,23:00,1,R B Bragantino,Ceará,FINISHED,2.0,2.0
05/04/2025,21:30,2,Corinthians,Vasco,FINISHED,3.0,0.0
05/04/2025,21:30,2,Ceará,Grêmio,FINISHED,2.0,0.0
06/04/2025,00:00,2,Botafogo,Juventude,FINISHED,2.0,0.0
06/04/2025,19:00,2,Fluminense,R B Bragantino,FINISHED,2.0,1.0
06/04/2025,19:00,2,Atlético-MG,São Paulo,FINISHED,0.0,0.0
06/04/2025,21:30,2,Mirassol,Fortaleza,FINISHED,1.0,1.0
06/04/2025,21:30,2,Internacional,Cruzeiro,FINISHED,3.0,0.0
06/04/2025,21:30,2,Vitória,Flamengo,FINISHED,1.0,2.0
06/04/2025,21:30,2,Sport,Palmeiras,FINISHED,1.0,2.0
06/04/2025,23:30,2,Santos,Bahia,FINISHED,2.0,2.0
12/04/2025,19:00,3,R B Bragantino,Botafogo,FINISHED,1.0,0.0
12/04/2025,19:00,3,Juventude,Ceará,FINISHED,2.0,1.0
12/04/2025,21:30,3,Palmeiras,Corinthians,FINISHED,2.0,0.0
13/04/2025,00:00,3,Vasco,Sport,FINISHED,3.0,1.0
13/04/2025,19:00,3,Bahia,Mirassol,FINISHED,1.0,1.0
13/04/2025,20:30,3,São Paulo,Cruzeiro,FINISHED,1.0,1.0
13/04/2025,20:30,3,Grêmio,Flamengo,FINISHED,0.0,2.0
13/04/2025,22:30,3,Fluminense,Santos,FINISHED,1.0,0.0
13/04/2025,23:00,3,Fortaleza,Internacional,FINISHED,0.0,0.0
13/04/2025,23:30,3,Atlético-MG,Vitória,FINISHED,2.0,2.0
16/04/2025,00:30,4,Ceará,Vasco,FINISHED,2.0,1.0
16/04/2025,21:30,4,Botafogo,São Paulo,FINISHED,2.0,2.0
16/04/2025,22:00,4,Mirassol,Grêmio,FINISHED,4.0,1.0
16/04/2025,22:00,4,Sport,R B Bragantino,FINISHED,0.0,1.0
